surname,name,middlename,rb_num,birthday,group_nm,year
Агапова,Ника,Матвеевна,,,,
Агафонов,Руслан,Андреевич,,,,
Агеев,Матвей,Матвеевич,,,,
Аксенов,Григорий,Дмитриевич,,,,
Александров,Вячеслав,Даниилович,,,,
Александров,Даниил,Алексеевич,,,,
Александров,Марк,Тимурович,,,,
Александров,Георгий,Андреевич,,,,
Александров,Александр,Даниилович,,,,
Александрова,Ульяна,Максимовна,,,,
Алексеев,Михаил,Тимурович,,,,
Алексеев,Егор,Александрович,,,,
Андреев,Гордей,Кириллович,,,,
Андрианова,Нина,Михайловна,,,,
Артемов,Дмитрий,Ярославович,,,,
Астафьев,Максим,Дмитриевич,,,,
Астахов,Мирон,Юрьевич,,,,
Баранов,Макар,Михайлович,,,,
Баранов,Ярослав,Никитич,,,,
Баранова,Дарья,Саввична,,,,
Баранова,Ксения,Васильевна,,,,
Барсуков,Максим,Егорович,,,,
Белов,Антон,Адамович,,,,
Белоусов,Фёдор,Ильич,,,,
Белоусов,Фёдор,Фёдорович,,,,
Беляева,Надежда,Артёмовна,,,,
Беспалова,Антонина,Ивановна,,,,
Бирюков,Константин,Русланович,,,,
Бирюков,Тимофей,Егорович,,,,
Блинов,Дмитрий,Михайлович,,,,
Блохин,Степан,Маркович,,,,
Бобров,Демид,Романович,,,,
Богомолова,Арина,Максимовна,,,,
Борисов,Александр,Тихонович,,,,
Бородин,Мирон,Владимирович,,,,
Бородин,Александр,Андреевич,,,,
Бочаров,Егор,Евгеньевич,,,,
Булгакова,Милена,Егоровна,,,,
Быкова,Ксения,Львовна,,,,
Быкова,Валерия,Владиславовна,,,,
Васильев,Михаил,Григорьевич,,,,
Васильев,Лев,Даниилович,,,,
Васильев,Максим,Матвеевич,,,,
Виноградов,Макар,Маркович,,,,
Виноградова,Василиса,Никитична,,,,
Виноградова,Анастасия,Михайловна,,,,
Виноградова,Елизавета,Тимофеевна,,,,
Волков,Дмитрий,Викторович,,,,
Воронин,Леонид,Михайлович,,,,
Воронина,Милана,Артёмовна,,,,
Гаврилов,Роберт,Иванович,,,,
Гаврилова,Мия,Романовна,,,,
Галкин,Андрей,Матвеевич,,,,
Герасимова,София,Тимуровна,,,,
Голикова,Мирослава,Александровна,,,,
Головин,Тимур,Максимович,,,,
Гончаров,Александр,Владимирович,,,,
Горбунов,Максим,Макарович,,,,
Гордеева,Полина,Владиславовна,,,,
Гордеева,Василиса,Тимофеевна,,,,
Горлов,Артём,Тимофеевич,,,,
Грачев,Иван,Михайлович,,,,
Грибов,Артём,Маркович,,,,
Григорьева,Валерия,Ивановна,,,,
Григорьева,София,Максимовна,,,,
Гришин,Владислав,Дмитриевич,,,,
Гусева,Кристина,Владиславовна,,,,
Давыдов,Антон,Денисович,,,,
Данилов,Даниил,Алексеевич,,,,
Данилов,Кирилл,Игоревич,,,,
Дегтярев,Михаил,Константинович,,,,
Дементьев,Руслан,Степанович,,,,
Демидов,Георгий,Романович,,,,
Денисов,Иван,Демидович,,,,
Денисова,Ольга,Артёмовна,,,,
Дмитриев,Даниил,Матвеевич,,,,
Дроздов,Мирослав,Александрович,,,,
Дружинин,Марк,Викторович,,,,
Дьяконов,Максим,Тимурович,,,,
Дьяконов,Дмитрий,Александрович,,,,
Егорова,Мария,Васильевна,,,,
Елисеева,Виктория,Егоровна,,,,
Емельянова,Валерия,Ивановна,,,,
Еремин,Даниил,Артёмович,,,,
Ермолаева,Екатерина,Ивановна,,,,
Ефимов,Фёдор,Александрович,,,,
